成交日期      ,成交时间    ,证券代码    ,证券名称    ,委托方向    ,成交数量    ,成交均价    ,成交金额     ,佣金     ,印花税    
2024/5/21,10:28:39,002352      ,顺丰控股    ,证券买入    ,300,39.04,11712,4.25,0
2024/4/16,10:46:04,512510      ,ETF500      ,证券买入    ,5000,1.436,7180,0.5,0
2024/3/22,10:57:40,512510      ,ETF500      ,证券买入    ,6000,1.475,8850,0.61,0
2024/3/19,10:16:50,002352      ,顺丰控股    ,证券买入    ,400,38.77,15508,4,0
2024/1/15,10:25:12,111018      ,华康转债    ,证券卖出    ,10,117.39,1173.9,0.08,0
2024/1/9,9:43:01,002415      ,海康威视    ,证券买入    ,400,31.45,12580,4.2,0
