成交日期      ,成交时间    ,证券代码    ,证券名称    ,委托方向    ,成交数量    ,成交均价    ,成交金额     ,佣金     ,印花税    
2020/12/30,10:33:35,300750,宁德时代    ,证券卖出    ,100,337,33700,5.45,33.7
2020/12/16,19:36:06,783006,大秦发债    ,配售申购    ,10,100,1000,0,0
2020/11/18,14:16:44,300750,宁德时代    ,证券买入    ,100,240.05,24005,3.87,0
2020/10/21,15:00:00,2714,牧原股份    ,证券买入    ,100,73.04,7304,4.34,0
2020/10/15,13:00:02,300015,爱尔眼科    ,证券买入    ,100,56.88,5688,4.5,0
2020/9/17,19:43:32,72941,交建发债    ,配售申购    ,10,100,1000,0,0
2020/9/1,11:23:58,127020,中金转债    ,证券卖出    ,10,114.99,1149.9,0.18,0
2020/8/27,13:28:38,110073,国投转债    ,证券卖出    ,10,116.79,1167.9,0.23,0
2020/8/5,14:35:25,601318,中国平安    ,证券买入    ,100,77,7700,4.48,0
2020/7/29,11:06:34,123050,聚飞转债    ,证券卖出    ,10,142.01,1420.1,0.22,0
2020/7/28,19:23:01,733061,国投发债    ,配售申购    ,10,100,1000,0,0
2020/7/22,21:11:55,70060,中金发债    ,配售申购    ,10,100,1000,0,0
2020/7/1,20:25:59,70761,本钢发债    ,配售申购    ,10,100,1000,0,0
2020/5/26,10:03:38,600887,伊利股份    ,证券买入    ,200,28.48,5696,4.61,0
2020/4/30,13:18:06,128104,裕同转债    ,证券卖出    ,10,125,1250,0.2,0
2020/4/24,13:31:36,300059,东方财富    ,证券买入    ,400,16.88,6752,4.39,0
2020/4/16,20:04:15,370303,聚飞发债    ,配售申购    ,10,100,1000,0,0
2020/4/9,20:01:19,72831,裕同发债    ,配售申购    ,10,100,1000,0,0
2020/4/9,10:21:24,2415,海康威视    ,证券买入    ,200,30.08,6016,4.47,0
2020/3/27,11:28:22,600196,复星医药    ,证券买入    ,100,33.56,3356,4.77,0
2020/3/25,9:30:41,2415,海康威视    ,证券买入    ,200,28.7,5740,4.5,0
