成交日期      ,成交时间    ,证券代码    ,证券名称    ,委托方向    ,成交数量    ,成交均价    ,成交金额     ,佣金     ,印花税    
2022/12/9,19:35:15,787172      ,燕东申购    ,配售申购    ,500,21.98,10990,0,0
2022/12/5,10:46:24,600196      ,复星医药    ,证券买入    ,300,36.2,10860,4.25,0
2022/11/15,14:24:46,123165      ,回天转债    ,证券卖出    ,10,126.5,1265,0.2,0
2022/10/31,20:13:31,370041      ,回天发债    ,配售申购    ,10,100,1000,0,0
2022/10/27,13:17:28,127073      ,天赐转债    ,证券卖出    ,10,123,1230,0.2,0
2022/10/27,9:30:38,300015      ,爱尔眼科    ,证券买入    ,600,26.8,16080,3.74,0
2022/9/27,19:29:54,072709      ,072709      ,配售申购    ,10,100,1000,0,0
2022/9/16,10:04:49,600438      ,通威股份    ,证券买入    ,200,51.2,10240,4.3,0
2022/9/15,14:12:51,600196      ,复星医药    ,证券买入    ,300,32.79,9837,4.32,0
2022/8/2,13:26:46,688371      ,N菲沃泰     ,证券卖出    ,250,26.6,6650,4.55,6.65
2022/8/2,9:48:07,688371      ,N菲沃泰     ,证券卖出    ,250,27.89,6972.5,4.52,6.97
2022/7/26,19:33:41,787371      ,菲沃申购    ,配售申购    ,500,18.54,9270,0,0
2022/7/4,13:14:43,300624      ,万兴科技    ,证券买入    ,400,31.7,12680,4,0
2022/6/20,10:50:35,002352      ,顺丰控股    ,证券买入    ,300,52.44,15732,3.77,0
2022/6/9,13:51:35,600031      ,三一重工    ,证券买入    ,600,17.24,10344,4.29,0
2022/5/16,13:00:05,300059      ,东方财富    ,证券买入    ,500,22.27,11135,4.13,0
2022/5/16,10:04:46,002415      ,海康威视    ,证券买入    ,400,32.77,13108,3.97,0
2022/5/16,9:57:26,603259      ,药明康德    ,证券买入    ,100,100.91,10091,4.31,0
2022/5/16,9:34:31,002714      ,牧原股份    ,证券买入    ,300,49.6,14880,3.83,0
2022/4/11,11:10:22,300750      ,宁德时代    ,证券买入    ,100,453,45300,7.3,0
2022/3/21,14:07:41,110085      ,通22转债    ,证券卖出    ,10,133.01,1330.1,0.27,0
2022/3/8,9:49:20,600196      ,复星医药    ,证券买入    ,400,41.4,16560,3.86,0
2022/3/2,13:29:31,600009      ,上海机场    ,证券买入    ,400,54.18,21672,3.93,0
2022/2/28,20:08:27,733438      ,通22发债    ,配售申购    ,10,100,1000,0,0
2022/2/25,9:31:52,002415      ,海康威视    ,证券买入    ,200,48.65,9730,4.12,0
2022/2/24,13:31:56,600585      ,海螺水泥    ,证券买入    ,500,40.75,20375,3.69,0
2022/2/24,10:56:43,000858      ,五 粮 液    ,证券买入    ,100,191.85,19185,3.31,0
2022/2/18,13:54:00,113053      ,隆22转债    ,证券卖出    ,10,124.06,1240.6,0.25,0
2022/1/24,9:31:36,300059      ,东方财富    ,证券买入    ,400,33.03,13212,3.84,0
2022/1/14,13:22:12,113052      ,N兴业转     ,证券卖出    ,10,111.37,1113.7,0.22,0
2022/1/7,19:59:48,783012      ,隆基发债    ,配售申购    ,10,100,1000,0,0
